latitude,longitude,hour,incident_type
28.64099342830602,77.21972347139766,20,harassment_report
28.6412953770762,77.22304605971281,20,harassment_report
28.639531693250554,77.2195317260861,22,harassment_report
28.643158425631015,77.22153486945831,21,harassment_report
28.63906105122813,77.22108512008717,21,harassment_report
28.639073164614377,77.21906854049286,21,harassment_report
28.640483924543133,77.21617343951068,20,harassment_report
28.636550164334974,77.21887542494152,20,harassment_report
28.63797433775933,77.22062849466519,23,harassment_report
28.63818395184896,77.21717539259733,20,harassment_report
28.642931297537842,77.21954844739902,20,harassment_report
28.640135056409378,77.21715050362758,20,harassment_report
28.63891123455095,77.22022184517942,21,harassment_report
28.637698012845156,77.22075139603669,21,harassment_report
28.638798722620162,77.21941661250041,20,harassment_report
28.609097440081655,77.23777841727676,23,poor_lighting_complaint
28.609979754162893,77.23341343360657,1,poor_lighting_complaint
28.611233817368156,77.23316873452504,23,poor_lighting_complaint
28.61031329539251,77.23206049481418,1,poor_lighting_complaint
28.60800772092665,77.2352952918538,0,poor_lighting_complaint
28.611107699869994,77.23525705242179,22,poor_lighting_complaint
28.609826527576416,77.23454834445661,23,poor_lighting_complaint
28.60778221701445,77.23392023368741,1,poor_lighting_complaint
28.60930904184356,77.23658568333933,0,poor_lighting_complaint
28.61051542743435,77.23235543976695,0,poor_lighting_complaint
28.65564816793879,77.19922983543917,19,harassment_report
28.65364615599939,77.20122335257768,19,harassment_report
28.65706199904499,77.20186256023824,20,harassment_report
28.653321564953554,77.1993815752483,19,harassment_report
28.65566252686281,77.20195109025424,19,harassment_report
28.65404165152431,77.19962868204668,20,harassment_report
28.65278733005199,77.19760758675184,19,harassment_report
28.656625051644788,77.20271248005714,20,harassment_report
28.65485597975684,77.20200706579578,20,harassment_report
28.655723272050096,77.19870976049079,21,harassment_report
28.65572279121102,77.20307607313293,20,harassment_report
28.654928347921782,77.20312928731163,19,harassment_report
28.658378542935505,77.22289824731638,12,misc_complaint
28.606304015846277,77.20345426251258,20,misc_complaint
28.649481580189143,77.24893655202487,18,misc_complaint
28.615383087220533,77.1855644119059,21,misc_complaint
28.618231862052124,77.20315103708818,2,misc_complaint
28.668425417681213,77.24931869334043,12,misc_complaint
28.622237888248808,77.23085475554116,11,misc_complaint
28.613012327772488,77.2084216560182,21,misc_complaint
